iter	Accuracy	Logloss
0	0.8066455168	0.6747995072
1	0.8136476012	0.6576816012
2	0.8208166585	0.6414139554
3	0.8217215433	0.6267826094
4	0.8275548182	0.6127001116
5	0.8291114355	0.5997243082
6	0.833431183	0.5872495027
7	0.8376108888	0.5748367461
8	0.8411550208	0.5635994329
9	0.8409826618	0.553069071
10	0.8443059588	0.543610879
11	0.8463257908	0.5341629916
12	0.8481086293	0.5250548624
13	0.8503546825	0.516314091
14	0.8516258302	0.5082743989
15	0.8525845771	0.5005448555
16	0.8541358081	0.4933676427
17	0.8552130519	0.4862580312
18	0.8558917155	0.4795249327
19	0.8567858278	0.4727457162
20	0.8581485411	0.4664105912
21	0.8587033217	0.4606339663
22	0.8599583107	0.4547981337
23	0.8604269117	0.4497207913
24	0.8611594375	0.4443368978
25	0.8625221508	0.4396375012
26	0.863190042	0.4347775634
27	0.8640787681	0.4304776157
28	0.8649405631	0.42575584
29	0.8657700408	0.4214577482
30	0.866168621	0.4174281279
31	0.8665025665	0.4136735178
32	0.8666964704	0.4100548643
33	0.8672404785	0.4065271573
34	0.8679083696	0.4030694064
35	0.8683985156	0.3995735481
36	0.8689371374	0.3962508016
37	0.8693249452	0.393092012
38	0.869567325	0.3902472246
39	0.870008995	0.3874031709
40	0.8704722098	0.3846848484
41	0.8709515833	0.3819321216
42	0.8715171363	0.3793315096
43	0.8717379712	0.3769288426
44	0.8722173447	0.3745391494
45	0.8725674489	0.3722224922
46	0.8733430644	0.3699696264
47	0.8734723337	0.3676999125
48	0.874021728	0.3655028268
49	0.8746088259	0.3634033702
50	0.8748727506	0.3614582042
51	0.8753790551	0.359446606
52	0.8757076145	0.3576002078
53	0.8759769254	0.3558158519
54	0.8763054848	0.3539659385
55	0.8767148374	0.3522592031
56	0.8770326243	0.350567418
57	0.8773073215	0.349021152
58	0.8777597639	0.3473249794
59	0.8781152543	0.3458078419
60	0.8782929995	0.3443639662
61	0.8785030621	0.3430021016
62	0.8788477801	0.3416180174
63	0.8790362977	0.3402361771
64	0.879337926	0.3388340006
65	0.8795372161	0.3375044348
66	0.8797526648	0.3362754454
67	0.8801135415	0.3349555685
68	0.8802697418	0.3337960812
69	0.8805983012	0.3324927172
70	0.8806898669	0.3312807956
71	0.8809699503	0.3302093805
72	0.8811746266	0.3290239635
73	0.8813469856	0.3279130904
74	0.8815516619	0.3267324278
75	0.8819125386	0.3257666641
76	0.881971787	0.3247318128
77	0.8822949601	0.3237273227
78	0.8825804297	0.3226608401
79	0.8828281958	0.3216399888
80	0.8830382583	0.3207049884
81	0.8832213898	0.3197378177
82	0.8833398866	0.3188243029
83	0.8837061494	0.3178769626
84	0.8838731222	0.3169546649
85	0.8839108258	0.3161075168
86	0.8840993434	0.3152728895
87	0.8842663162	0.3144445972
88	0.8845894893	0.3136110452
89	0.8847241448	0.3128569088
90	0.8848318692	0.3120776664
91	0.885171201	0.3113015684
92	0.8851550423	0.3105409951
93	0.8854081946	0.3098458291
94	0.8855536225	0.3091166544
95	0.8857798437	0.3083822145
96	0.8858390921	0.3077002511
97	0.8859414303	0.3070353097
98	0.8861245617	0.3063243756
99	0.8862538309	0.3056738846
100	0.886280762	0.3050001731
101	0.8865123695	0.3043171986
102	0.886846315	0.3037125695
103	0.8869755843	0.303050336
104	0.8871371708	0.3024216312
105	0.8873472334	0.3017751263
106	0.8875680683	0.3011823245
107	0.8877188825	0.300588056
108	0.8878373793	0.3000129795
109	0.8880043521	0.2994346275
110	0.8881443938	0.2988723637
111	0.8883113665	0.2983907388
112	0.8884837255	0.2978709501
113	0.888666857	0.2973346365
114	0.8886506983	0.2968315221
115	0.888887692	0.2963196295
116	0.8889307817	0.29580769
117	0.8890169612	0.2952899376
118	0.8891947064	0.2947311879
119	0.8892431824	0.2943024045
120	0.8895017209	0.2938063486
121	0.8895879004	0.2933372655
122	0.8897602594	0.2928520996
123	0.8898302802	0.2924315928
124	0.889921846	0.2919888018
125	0.8900080255	0.2915862724
126	0.8900888187	0.2911763033
127	0.8901911569	0.2907643216
128	0.8902342467	0.2903032485
129	0.8904012194	0.2898723345
130	0.8904712403	0.2894551281
131	0.8905466473	0.2890399399
132	0.8905466473	0.2886402054
133	0.8907567099	0.2882792313
134	0.8908805929	0.2878899082
135	0.8908967516	0.2875006342
136	0.8910583381	0.2871465487
137	0.891176835	0.28674621
138	0.8913653526	0.2863565844
139	0.8914569183	0.2859536835
140	0.8915861876	0.2855503797
141	0.8917046844	0.285180023
142	0.8918231812	0.2848527442
143	0.8919255194	0.2844744325
144	0.8919793816	0.284127712
145	0.8920601748	0.2837907222
146	0.8921194232	0.2834067196
147	0.8923079409	0.2830532227
148	0.8925018448	0.2827146874
149	0.8925287759	0.2823714734
150	0.89267959	0.2820356711
151	0.8927496108	0.2816863332
152	0.8928411766	0.2813616781
153	0.8929812183	0.2810194465
154	0.8930997151	0.2806794907
155	0.8932289843	0.2803617435
156	0.8932936189	0.2800391322
157	0.8934552055	0.2797352009
158	0.8934552055	0.2793921557
159	0.8934821366	0.27909018
160	0.8934982953	0.278811278
161	0.8936006334	0.278502896
162	0.8936544956	0.2782213071
163	0.8938699444	0.2779095431
164	0.8939238065	0.2776096269
165	0.8939776687	0.2773301273
166	0.8941123242	0.2769941623
167	0.8942146624	0.2767111987
168	0.8943223867	0.2764385768
169	0.8944570422	0.2761747047
170	0.8945593804	0.2759135762
171	0.8946886496	0.2756237212
172	0.8947317394	0.2753188821
173	0.8947263532	0.2750557246
174	0.8948556224	0.2747634596
175	0.8949902779	0.2744926787
176	0.8951141609	0.2742358157
177	0.8950818436	0.2739741891
178	0.8951680231	0.2737059323
179	0.8952757475	0.2734570139
180	0.8954104029	0.2732280331
181	0.89548581	0.272971071
182	0.8955396722	0.2727301219
183	0.895534286	0.2725023241
184	0.8956689414	0.2722482614
185	0.8957443485	0.2720019366
186	0.8958897764	0.2717486496
187	0.895879004	0.2715064846
188	0.8959382524	0.2712514128
189	0.8960890665	0.2710153771
190	0.8961590874	0.2707941211
191	0.8962291082	0.2705389697
